Name	Gender	Country	Sport	Event	Age	Height	Weight
Simone Facey	Women	Jamaica	Athletics	200 metres	31	1.62	53
Veronica Campbell-Brown	Women	Jamaica	Athletics	200 metres	34	1.68	58
Chisato Fukushima	Women	Japan	Athletics	200 metres	28	1.65	52
Olga Safronova	Women	Kazakhstan	Athletics	200 metres	24	1.71	62
Viktoriya Zyabkina	Women	Kazakhstan	Athletics	200 metres	23	1.74	62
Aurelie Alcindor	Women	Mauritius	Athletics	200 metres	22	1.69	47
Dafne Schippers	Women	Netherlands	Athletics	200 metres	24	1.79	70
Jamile Samuel	Women	Netherlands	Athletics	200 metres	24	1.68	59
Tessa van Schagen	Women	Netherlands	Athletics	200 metres	22	1.68	62
Blessing Okagbare	Women	Nigeria	Athletics	200 metres	27	1.81	71
Anna Kielbasinska	Women	Poland	Athletics	200 metres	26	1.70	59
Lorene Dorcas Bazolo	Women	Portugal	Athletics	200 metres	33	1.70	60
Celiangeli Morales	Women	Puerto Rico	Athletics	200 metres	30	1.65	63
Maja Mihalinec	Women	Slovenia	Athletics	200 metres	26	1.68	65
Sabina Veit	Women	Slovenia	Athletics	200 metres	30	1.67	59
Alyssa Conley	Women	South Africa	Athletics	200 metres	25	1.76	63
Justine Palframan	Women	South Africa	Athletics	200 metres	22	1.71	64
Margret Hassan	Women	South Sudan	Athletics	200 metres	18	1.60	55
Estela Garcia	Women	Spain	Athletics	200 metres	27	1.70	56
Mujinga Kambundji	Women	Switzerland	Athletics	200 metres	24	1.68	65
Kristina Pronzhenko	Women	Tajikistan	Athletics	200 metres	27	1.72	60
Kai Selvon	Women	Trinidad and Tobago	Athletics	200 metres	24	1.65	59
Michelle-Lee Ahye	Women	Trinidad and Tobago	Athletics	200 metres	24	1.60	64
Reyare Thomas	Women	Trinidad and Tobago	Athletics	200 metres	28	1.69	59
Semoy Hackett	Women	Trinidad and Tobago	Athletics	200 metres	27	1.73	61
Yelena Ryabova	Women	Turkmenistan	Athletics	200 metres	25	1.70	56
Natalia Pohrebniak	Women	Ukraine	Athletics	200 metres	28	1.71	63
Nataliya Strohova	Women	Ukraine	Athletics	200 metres	23	1.69	65
Yelyzaveta Bryzgina	Women	Ukraine	Athletics	200 metres	26	1.73	63
Allyson Felix	Women	United States	Athletics	200 metres	30	1.68	56
Jenna Prandini	Women	United States	Athletics	200 metres	23	1.73	59
Tori Bowie	Women	United States	Athletics	200 metres	25	1.76	58
Nercely Soto	Women	Venezuela	Athletics	200 metres	25	1.69	55
Ashley Kelly	Women	Virgin Islands GB	Athletics	200 metres	25	1.73	75
Laverne Jones-Ferrette	Women	Virgin Islands US	Athletics	200 metres	34	1.73	68
