Name	Gender	Year	Sport	Event	Rank	Medal
Bombayla Devi Laishram	F	2016	Archery	Individual	24	
Laxmirani Majhi	F	2016	Archery	Individual	43	
Atanu Das	M	2016	Archery	Individual	5	
Srikanth Kidambi	M	2016	Badminton	Individual	5	
Sindhu V Pusarla	F	2016	Badminton	Individual	2	Silver
Saina Nehwal	F	2016	Badminton	Individual	17	
Manu Attri	M	2016	Badminton	Doubles	9	
Sumeeth B Reddy	M	2016	Badminton	Doubles	9	
Jwala Gutta	F	2016	Badminton	Doubles	9	
Ashwini Ponnappa	F	2016	Badminton	Doubles	9	
SSP Chawrasia	M	2016	Golf	Individual stroke play	50	
Anirban Lahiri	M	2016	Golf	Individual stroke play	57	
Aditi Ashok	F	2016	Golf	Individual stroke play	41	
India	F	2016	Hockey	Team	12	
India	M	2016	Hockey	Team	8	
Avtar Singh	M	2016	Judo	90 kg	17	
Sathish Kumar Sivalingam	M	2016	Weightlifting	77 kg	11	
Ravinder Khatri	M	2016	Wrestling	Greco-Roman 85 kg	20	
Hardeep Hardeep	M	2016	Wrestling	Greco-Roman 98 kg	13	
Sandeep Tomar	M	2016	Wrestling	Freestyle 57 kg	15	
Yogeshwar Dutt	M	2016	Wrestling	Freestyle 65 kg	21	
Vinesh Vinesh	F	2016	Wrestling	Freestyle 48 kg	10	
Babita Kumari	F	2016	Wrestling	Freestyle 53 kg	13	
Sakshi Malik	F	2016	Wrestling	Freestyle 58 kg	3	Bronze
